7,07031964BremBrau,"Sa07.03.1964, 16:30",Bremen,Braunschweig,Weser-Stadion,12000,Bremen,"Schörnich, Fritz",Düsseldorf
8,070319641860HSV,"Sa07.03.1964, 16:30",1860 München,HSV,Stadion an der Grünwalder Straße,40000,Münch,"Weyland, Hans-Joachim",Oberhausen
9,07031964MünsKöln,"Sa07.03.1964, 16:30",Münster,Köln,Preußenstadion,32000,Münster,"Schulenburg, Gerhard",Laatzen
0,07031964SaarMeid,"Sa07.03.1964, 16:30",Saarbrücken,Meidericher SV,Ludwigsparkstadion,18000,Saarbrücken,"Handwerker, Kurt",Ketsch
1,07031964KarlKla,"Sa07.03.1964, 16:30",Karlsruhe,K'lautern,Wildparkstadion,20000,Karlsruhe,"Thier, Willi",Gelsenkirchen
2,07031964FranStut,"Sa07.03.1964, 16:30",Frankfurt,Stuttgart,Waldstadion,20000,Frankfurt,"Reil, Erich",Weiden
3,14031964BrauHSV,"Sa14.03.1964, 16:30",Braunschweig,HSV,Eintracht-Stadion,30000,Braunschweig,"Seekamp, Rolf",Bremen
4,14031964MeidKöln,"Sa14.03.1964, 16:30",Meidericher SV,Köln,Wedaustadion,44000,Duisburg,"Sparing, Günter",Kassel
5,14031964DortStut,"Sa14.03.1964, 16:30",Dortmund,Stuttgart,Rote Erde,28000,Dortmun,"Fritz, Helmut",Ludwigshafen
6,14031964KlaNürn,"Sa14.03.1964, 16:30",K'lautern,Nürnberg,Betzenberg,20000,Kaiserslautern,"Weyland, Hans-Joachim",Oberhausen
7,140319641860Müns,"Sa14.03.1964, 16:30",1860 München,Münster,Stadion an der Grünwalder Straße,37000,Münch,"Deuschel, Edgar",Ludwigshafen
8,14031964KarlSaar,"Sa14.03.1964, 16:30",Karlsruhe,Saarbrücken,Wildparkstadion,18000,Karlsruhe,"Schulenburg, Gerhard",Laatzen
0,14031964BremScha,"Sa14.03.1964, 16:30",Bremen,Schalke,Weser-Stadion,14000,Bremen,"Tschenscher, Kurt",Mannheim
1,14031964FranHert,"Sa14.03.1964, 16:30",Frankfurt,Hertha,Waldstadion,15000,Frankfurt,"Gusenburger, Willi",Saarbrücken
2,21031964KölnBrau,"Sa21.03.1964, 16:30",Köln,Braunschweig,Stadion am Zoo,30000,Wuppertal,"Riegg, Karl",Augsburg
3,21031964HSVMeid,"Sa21.03.1964, 16:30",HSV,Meidericher SV,Volksparkstadion,25000,Hamburg,"Kreitlein, Rudolf",Stuttgart
4,21031964StutKla,"Sa21.03.1964, 16:30",Stuttgart,K'lautern,Neckarstadion,15000,Stuttgart,"Sturm, Erwin",Hannover
5,21031964NürnDort,"Sa21.03.1964, 16:30",Nürnberg,Dortmund,Städtisches Stadion,43000,Nürnberg,"Deuschel, Edgar",Ludwigshafen
6,21031964Saar1860,"Sa21.03.1964, 16:30",Saarbrücken,1860 München,Ludwigsparkstadion,15000,Saarbrücken,"Regely, Ewald",Berlin
7,21031964MünsKarl,"Sa21.03.1964, 16:30",Münster,Karlsruhe,Preußenstadion,18000,Münster,"Lutz, Herbert",Bremen
8,15041964HertBrem,"Mi15.04.1964, 20:00",Hertha,Bremen,Olympiastadion,16000,Berlin,"Kreitlein, Rudolf",Stuttgart
0,26031964BrauSaar,"Do26.03.1964, 19:30",Braunschweig,Saarbrücken,Eintracht-Stadion,12000,Braunschweig,"Fischer, Heinz",Augsburg
1,26031964HSVBrem,"Do26.03.1964, 19:30",HSV,Bremen,Volksparkstadion,25000,Hamburg,"Pooch, Gerhard",Lübeck
2,260319641860Stut,"Do26.03.1964, 20:15",1860 München,Stuttgart,Stadion an der Grünwalder Straße,35000,Münch,"Spiewak, Werner",Hamburg
3,27031964HertMeid,"Fr27.03.1964, 16:30",Hertha,Meidericher SV,Olympiastadion,35000,Berlin,"Lutz, Herbert",Bremen
4,30031964SaarDort,"Mo30.03.1964, 14:30",Saarbrücken,Dortmund,Ludwigsparkstadion,18000,Saarbrücken,"Tschenscher, Kurt",Mannheim
5,30031964StutBrem,"Mo30.03.1964, 15:00",Stuttgart,Bremen,Neckarstadion,40000,Stuttgart,"Spinnler, Max",Mainz
6,30031964FranHSV,"Mo30.03.1964, 18:00",Frankfurt,HSV,Waldstadion,40000,Frankfurt,"Mathieu, Horst",Saarbrücken
7,30031964BrauHert,"Mo30.03.1964, 19:30",Braunschweig,Hertha,Eintracht-Stadion,16000,Braunschweig,"Schmidt, Berthold",Hermesdorf
8,310319641860Meid,"Di31.03.1964, 20:15",1860 München,Meidericher SV,Stadion an der Grünwalder Straße,44000,Münch,"Hager, Josef",Ludwigshafen
9,04041964MeidBrau,"Sa04.04.1964, 17:00",Meidericher SV,Braunschweig,Wedaustadion,15000,Duisburg,"Jacobi, Rudibert",Heidelberg
0,04041964HSVKöln,"Sa04.04.1964, 17:00",HSV,Köln,Volksparkstadion,43000,Hamburg,"Fritz, Helmut",Ludwigshafen
1,04041964NürnStut,"Sa04.04.1964, 17:00",Nürnberg,Stuttgart,Städtisches Stadion,32000,Nürnberg,"Tschenscher, Kurt",Mannheim
2,04041964KlaDort,"Sa04.04.1964, 17:00",K'lautern,Dortmund,Betzenberg,30000,Kaiserslautern,"Zimmermann, Walter",Wolfsburg
